,Domain,Country,Element,Crop,Year,Unit,Production,Crop
116,Crops and livestock products,India,Production,Apples,1961,tonnes,185000,apples
117,Crops and livestock products,India,Production,Apples,1962,tonnes,160000,apples
118,Crops and livestock products,India,Production,Apples,1963,tonnes,140000,apples
119,Crops and livestock products,India,Production,Apples,1964,tonnes,110000,apples
120,Crops and livestock products,India,Production,Apples,1965,tonnes,90000,apples
121,Crops and livestock products,India,Production,Apples,1966,tonnes,97500,apples
122,Crops and livestock products,India,Production,Apples,1967,tonnes,127000,apples
123,Crops and livestock products,India,Production,Apples,1968,tonnes,163000,apples
124,Crops and livestock products,India,Production,Apples,1969,tonnes,201000,apples
125,Crops and livestock products,India,Production,Apples,1970,tonnes,277000,apples
126,Crops and livestock products,India,Production,Apples,1971,tonnes,352000,apples
127,Crops and livestock products,India,Production,Apples,1972,tonnes,433000,apples
128,Crops and livestock products,India,Production,Apples,1973,tonnes,515000,apples
129,Crops and livestock products,India,Production,Apples,1974,tonnes,592000,apples
130,Crops and livestock products,India,Production,Apples,1975,tonnes,510000,apples
131,Crops and livestock products,India,Production,Apples,1976,tonnes,500000,apples
132,Crops and livestock products,India,Production,Apples,1977,tonnes,503500,apples
133,Crops and livestock products,India,Production,Apples,1978,tonnes,545070,apples
134,Crops and livestock products,India,Production,Apples,1979,tonnes,662020,apples
135,Crops and livestock products,India,Production,Apples,1980,tonnes,658000,apples
136,Crops and livestock products,India,Production,Apples,1981,tonnes,821790,apples
137,Crops and livestock products,India,Production,Apples,1982,tonnes,926980,apples
138,Crops and livestock products,India,Production,Apples,1983,tonnes,966600,apples
139,Crops and livestock products,India,Production,Apples,1984,tonnes,985900,apples
140,Crops and livestock products,India,Production,Apples,1985,tonnes,1005560,apples
141,Crops and livestock products,India,Production,Apples,1986,tonnes,1258000,apples
142,Crops and livestock products,India,Production,Apples,1987,tonnes,861404,apples
143,Crops and livestock products,India,Production,Apples,1988,tonnes,995296,apples
144,Crops and livestock products,India,Production,Apples,1989,tonnes,1084117,apples
145,Crops and livestock products,India,Production,Apples,1990,tonnes,1093900,apples
146,Crops and livestock products,India,Production,Apples,1991,tonnes,1175005,apples
147,Crops and livestock products,India,Production,Apples,1992,tonnes,1147743,apples
148,Crops and livestock products,India,Production,Apples,1993,tonnes,1168252,apples
149,Crops and livestock products,India,Production,Apples,1994,tonnes,1300000,apples
150,Crops and livestock products,India,Production,Apples,1995,tonnes,1200000,apples
151,Crops and livestock products,India,Production,Apples,1996,tonnes,1211379,apples
152,Crops and livestock products,India,Production,Apples,1997,tonnes,1308390,apples
153,Crops and livestock products,India,Production,Apples,1998,tonnes,1320590,apples
154,Crops and livestock products,India,Production,Apples,1999,tonnes,1380000,apples
155,Crops and livestock products,India,Production,Apples,2000,tonnes,1050000,apples
156,Crops and livestock products,India,Production,Apples,2001,tonnes,1230000,apples
157,Crops and livestock products,India,Production,Apples,2002,tonnes,1160000,apples
158,Crops and livestock products,India,Production,Apples,2003,tonnes,1470000,apples
159,Crops and livestock products,India,Production,Apples,2004,tonnes,1521600,apples
160,Crops and livestock products,India,Production,Apples,2005,tonnes,1739000,apples
161,Crops and livestock products,India,Production,Apples,2006,tonnes,1814000,apples
162,Crops and livestock products,India,Production,Apples,2007,tonnes,1624000,apples
163,Crops and livestock products,India,Production,Apples,2008,tonnes,2001000,apples
164,Crops and livestock products,India,Production,Apples,2009,tonnes,1985000,apples
165,Crops and livestock products,India,Production,Apples,2010,tonnes,1777200,apples
166,Crops and livestock products,India,Production,Apples,2011,tonnes,2891000,apples
167,Crops and livestock products,India,Production,Apples,2012,tonnes,2203400,apples
168,Crops and livestock products,India,Production,Apples,2013,tonnes,1915000,apples
169,Crops and livestock products,India,Production,Apples,2014,tonnes,2497680,apples
170,Crops and livestock products,India,Production,Apples,2015,tonnes,2134000,apples
171,Crops and livestock products,India,Production,Apples,2016,tonnes,2521000,apples
172,Crops and livestock products,India,Production,Apples,2017,tonnes,2265000,apples
173,Crops and livestock products,India,Production,Apples,2018,tonnes,2327000,apples
290,Crops and livestock products,India,Production,Apricots,1961,tonnes,8000,apricots
291,Crops and livestock products,India,Production,Apricots,1962,tonnes,8300,apricots
292,Crops and livestock products,India,Production,Apricots,1963,tonnes,8500,apricots
293,Crops and livestock products,India,Production,Apricots,1964,tonnes,8800,apricots
294,Crops and livestock products,India,Production,Apricots,1965,tonnes,9200,apricots
295,Crops and livestock products,India,Production,Apricots,1966,tonnes,9500,apricots
296,Crops and livestock products,India,Production,Apricots,1967,tonnes,9800,apricots
297,Crops and livestock products,India,Production,Apricots,1968,tonnes,10300,apricots
298,Crops and livestock products,India,Production,Apricots,1969,tonnes,10500,apricots
299,Crops and livestock products,India,Production,Apricots,1970,tonnes,10800,apricots
300,Crops and livestock products,India,Production,Apricots,1971,tonnes,11000,apricots
301,Crops and livestock products,India,Production,Apricots,1972,tonnes,10500,apricots
302,Crops and livestock products,India,Production,Apricots,1973,tonnes,11000,apricots
303,Crops and livestock products,India,Production,Apricots,1974,tonnes,11500,apricots
304,Crops and livestock products,India,Production,Apricots,1975,tonnes,9500,apricots
305,Crops and livestock products,India,Production,Apricots,1976,tonnes,10000,apricots
306,Crops and livestock products,India,Production,Apricots,1977,tonnes,8000,apricots
307,Crops and livestock products,India,Production,Apricots,1978,tonnes,8000,apricots
308,Crops and livestock products,India,Production,Apricots,1979,tonnes,7000,apricots
309,Crops and livestock products,India,Production,Apricots,1980,tonnes,6500,apricots
310,Crops and livestock products,India,Production,Apricots,1981,tonnes,6000,apricots
311,Crops and livestock products,India,Production,Apricots,1982,tonnes,5000,apricots
312,Crops and livestock products,India,Production,Apricots,1983,tonnes,5500,apricots
313,Crops and livestock products,India,Production,Apricots,1984,tonnes,5000,apricots
314,Crops and livestock products,India,Production,Apricots,1985,tonnes,4800,apricots
