Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Crop,Rain_JAN,Rain_FEB,Rain_MAR,Rain_APR,Rain_MAY,Rain_JUN,Rain_JUL,Rain_AUG,Rain_SEP,Rain_OCT,Rain_NOV,Rain_DEC,Temp_ANNUAL,Temp_JAN-FEB,Temp_MAR-MAY,Temp_JUN-SEP,Temp_OCT-DEC
QCL,Crops and livestock products,100,India,5312,Area harvested,515,Apples,1961,1961,ha,44500,F,FAO estimate,apples,26.1,34.8,26.0,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,24.0,18.98,26.11,27.06,21.17
QCL,Crops and livestock products,100,India,5312,Area harvested,515,Apples,1962,1962,ha,38500,F,FAO estimate,apples,12.6,21.6,16.0,43.6,70.8,137.1,281.6,276.9,211.0,78.4,18.3,29.9,24.04,18.91,25.91,27.14,21.47
QCL,Crops and livestock products,100,India,5312,Area harvested,515,Apples,1963,1963,ha,33700,F,FAO estimate,apples,6.8,9.8,41.7,50.6,60.9,168.0,258.6,316.7,164.9,99.1,28.4,15.5,24.15,19.07,25.57,27.21,22.04
QCL,Crops and livestock products,100,India,5312,Area harvested,515,Apples,1964,1964,ha,26500,F,FAO estimate,apples,18.6,14.1,19.0,40.0,52.1,177.2,345.7,273.7,200.4,67.4,22.8,13.3,24.1,18.83,26.38,26.9,21.58
QCL,Crops and livestock products,100,India,5312,Area harvested,515,Apples,1965,1965,ha,21700,F,FAO estimate,apples,11.8,28.1,26.7,45.1,52.7,116.1,270.1,192.8,129.5,34.0,18.2,22.2,24.07,19.22,25.24,27.08,22.1
QCL,Crops and livestock products,100,India,5312,Area harvested,515,Apples,1966,1966,ha,23500,F,FAO estimate,apples,13.1,25.4,20.3,30.6,57.2,178.8,252.5,212.5,143.9,56.1,51.0,16.7,24.36,19.93,26.07,27.17,21.83
QCL,Crops and livestock products,100,India,5312,Area harvested,515,Apples,1967,1967,ha,30600,F,FAO estimate,apples,11.1,14.2,63.3,29.5,42.8,144.0,305.6,264.3,170.3,40.6,12.1,56.1,24.11,19.44,25.55,27.19,21.68
QCL,Crops and livestock products,100,India,5312,Area harvested,515,Apples,1968,1968,ha,39300,F,FAO estimate,apples,29.4,19.8,27.5,32.6,46.7,149.6,309.9,212.8,129.5,67.1,21.8,12.6,23.94,18.25,25.62,27.22,21.69
QCL,Crops and livestock products,100,India,5312,Area harvested,515,Apples,1969,1969,ha,48500,F,FAO estimate,apples,12.7,14.5,20.1,39.7,63.4,130.2,317.8,273.4,172.7,55.0,35.8,12.7,24.46,19.18,26.39,27.35,22.2
QCL,Crops and livestock products,100,India,5312,Area harvested,515,Apples,1970,1970,ha,66800,F,FAO estimate,apples,23.2,27.3,25.9,29.2,69.7,215.9,245.6,313.0,212.7,75.3,15.7,1.6,24.26,19.56,26.39,27.06,21.55
